feature_name,num_repos,num_still_present,num_retired,min_first_seen_date,max_first_seen_date,min_last_seen_date,max_last_seen_date,avg_lifetime_days,median_lifetime_days
exit_status_error,1,0,1,2022-10-19T11:30:00+00:00,2022-10-19T11:30:00+00:00,2024-05-08T07:21:53+00:00,2024-05-08T07:21:53+00:00,566.00,566.00
explicit_tail_calls,2,2,0,2024-10-07T19:33:06+00:00,2024-10-07T19:33:06+00:00,2025-10-23T21:22:21+00:00,2025-11-19T20:51:51+00:00,394.50,394.50
extend_one,1,0,1,2022-01-06T09:39:35+00:00,2022-01-06T09:39:35+00:00,2022-01-13T17:51:51+00:00,2022-01-13T17:51:51+00:00,7.00,7.00
extern_prelude,2,0,2,2018-05-21T03:09:17+00:00,2018-09-12T22:59:56+00:00,2019-01-03T19:29:46+00:00,2019-01-03T19:29:46+00:00,112.00,112.00
extern_types,3,2,1,2018-06-25T14:36:37+00:00,2020-09-28T23:41:43+00:00,2020-10-03T23:00:47+00:00,2025-11-18T19:08:08+00:00,1767.00,2611.00
external_doc,7,1,6,2018-01-26T00:26:05+00:00,2021-02-21T07:05:41+00:00,2021-06-09T09:27:25+00:00,2024-03-21T14:37:36+00:00,1073.83,1271.00
fn_traits,1,0,1,2023-01-09T08:00:06+00:00,2023-01-09T08:00:06+00:00,2023-06-11T06:13:14+00:00,2023-06-11T06:13:14+00:00,152.00,152.00
fnbox,2,0,2,2015-08-03T15:02:47+00:00,2017-10-05T20:31:30+00:00,2015-09-08T18:23:07+00:00,2017-10-15T06:49:04+00:00,22.50,22.50
fundamental,1,1,0,2025-10-30T12:51:17+00:00,2025-10-30T12:51:17+00:00,2025-10-30T12:51:17+00:00,2025-10-30T12:51:17+00:00,0.00,0.00
future_join,1,0,1,2023-10-02T13:36:59+00:00,2023-10-02T13:36:59+00:00,2024-05-29T17:42:55+00:00,2024-05-29T17:42:55+00:00,240.00,240.00
futures_api,1,0,1,2019-04-22T08:13:40+00:00,2019-04-22T08:13:40+00:00,2019-04-26T12:06:58+00:00,2019-04-26T12:06:58+00:00,4.00,4.00
gen_blocks,1,1,0,2025-03-14T19:21:59+00:00,2025-03-14T19:21:59+00:00,2025-11-01T20:24:49+00:00,2025-11-01T20:24:49+00:00,232.00,232.00
generator_trait,3,1,2,2018-01-12T07:53:06+00:00,2023-02-23T06:33:11+00:00,2018-01-15T01:33:18+00:00,2023-03-10T07:57:19+00:00,94.00,15.00
generators,6,2,4,2018-01-30T14:14:33+00:00,2023-02-23T06:33:11+00:00,2019-09-28T00:07:09+00:00,2023-03-10T07:57:19+00:00,85.50,35.50
generic_associated_types,4,1,3,2021-05-04T13:33:44+00:00,2023-01-18T21:05:34+00:00,2021-05-11T07:30:23+00:00,2025-11-19T02:17:02+00:00,347.00,6.00
generic_const_exprs,6,5,1,2022-04-25T11:57:22+00:00,2024-06-02T22:25:54+00:00,2023-09-22T05:41:24+00:00,2025-11-19T02:17:02+00:00,693.50,689.00
generic_const_items,1,1,0,2024-11-02T20:25:06+00:00,2024-11-02T20:25:06+00:00,2025-11-01T20:24:49+00:00,2025-11-01T20:24:49+00:00,363.00,363.00
get_mut_unchecked,1,0,1,2019-12-29T23:40:03+00:00,2019-12-29T23:40:03+00:00,2020-01-03T22:17:34+00:00,2020-01-03T22:17:34+00:00,4.00,4.00
get_type_id,1,0,1,2018-04-19T14:59:57+00:00,2018-04-19T14:59:57+00:00,2020-01-16T23:23:06+00:00,2020-01-16T23:23:06+00:00,637.00,637.00
global_allocator,2,0,2,2018-01-08T15:48:45+00:00,2020-01-04T18:25:33+00:00,2022-12-20T12:21:12+00:00,2022-12-20T12:21:12+00:00,1080.00,1080.00
globs,6,0,6,2014-03-31T14:02:10+00:00,2014-11-22T10:46:48+00:00,2014-10-28T21:28:20+00:00,2015-01-22T09:58:41+00:00,139.00,150.50
guard_patterns,1,1,0,2024-11-24T21:57:33+00:00,2024-11-24T21:57:33+00:00,2025-11-01T20:24:49+00:00,2025-11-01T20:24:49+00:00,341.00,341.00
hash,3,0,3,2015-01-29T19:15:01+00:00,2015-02-08T09:18:26+00:00,2015-02-26T19:43:06+00:00,2015-02-26T19:43:06+00:00,28.00,28.00
hash_raw_entry,1,0,1,2023-03-18T07:41:48+00:00,2023-03-18T07:41:48+00:00,2024-10-21T17:54:51+00:00,2024-10-21T17:54:51+00:00,583.00,583.00
heap_api,1,0,1,2015-08-26T18:42:02+00:00,2015-08-26T18:42:02+00:00,2015-09-08T18:21:14+00:00,2015-09-08T18:21:14+00:00,12.00,12.00
i128_type,6,0,6,2017-03-13T23:36:32+00:00,2018-01-21T08:47:37+00:00,2017-11-25T01:19:14+00:00,2018-06-02T09:01:00+00:00,305.80,427.00
if_let,1,0,1,2014-11-24T19:13:52+00:00,2014-11-24T19:13:52+00:00,2014-12-08T20:12:03+00:00,2014-12-08T20:12:03+00:00,14.00,14.00
if_let_guard,1,0,1,2022-11-11T10:20:56+00:00,2022-11-11T10:20:56+00:00,2022-11-21T09:11:35+00:00,2022-11-21T09:11:35+00:00,9.00,9.00
if_while_or_patterns,1,1,0,2018-03-06T10:42:38+00:00,2018-03-06T10:42:38+00:00,2025-11-01T20:24:49+00:00,2025-11-01T20:24:49+00:00,2797.00,2797.00
impl_trait_in_assoc_type,1,1,0,2025-10-30T12:51:17+00:00,2025-10-30T12:51:17+00:00,2025-10-30T12:51:17+00:00,2025-10-30T12:51:17+00:00,0.00,0.00
in_band_lifetimes,1,0,1,2019-05-10T16:59:12+00:00,2019-05-10T16:59:12+00:00,2019-08-29T16:32:31+00:00,2019-08-29T16:32:31+00:00,110.00,110.00
inclusive_range,1,0,1,2017-01-23T09:45:54+00:00,2017-01-23T09:45:54+00:00,2017-01-23T09:45:54+00:00,2017-01-23T09:45:54+00:00,0.00,0.00
inner_deref,1,1,0,2025-02-07T18:18:34+00:00,2025-02-07T18:18:34+00:00,2025-11-19T20:18:14+00:00,2025-11-19T20:18:14+00:00,285.00,285.00
int_log,1,0,1,2022-11-10T00:51:33+00:00,2022-11-10T00:51:33+00:00,2022-11-14T11:32:13+00:00,2022-11-14T11:32:13+00:00,4.00,4.00
int_roundings,1,0,1,2023-04-27T19:30:27+00:00,2023-04-27T19:30:27+00:00,2024-02-15T21:03:31+00:00,2024-02-15T21:03:31+00:00,294.00,294.00
int_to_from_bytes,1,0,1,2018-08-06T23:38:28+00:00,2018-08-06T23:38:28+00:00,,,,
int_uint,1,0,1,2015-01-10T18:02:42+00:00,2015-01-10T18:02:42+00:00,2015-01-25T21:24:46+00:00,2015-01-25T21:24:46+00:00,15.00,15.00
integer_atomics,2,1,1,2018-11-05T20:47:02+00:00,2025-01-26T19:53:45+00:00,2019-01-27T12:29:21+00:00,2025-11-19T22:03:41+00:00,189.50,189.50
