key,owner,repo,crate_names,status,attempts,last_error,last_attempt_ts
lidavidm/guile-rs,lidavidm,guile-rs,guile,success,1,,2025-11-28T04:39:36Z
liebe-magi/abyss-lang,liebe-magi,abyss-lang,abyss-lang,pending,0,,
liebharc/basic_dsp,liebharc,basic_dsp,basic_dsp_vector,success,1,,2025-11-28T04:39:15Z
lifegpc/libtlg-rs,lifegpc,libtlg-rs,tlg,success,1,,2025-11-28T04:39:05Z
light-curve/light-curve-dmdt,light-curve,light-curve-dmdt,light-curve-dmdt-exec,success,1,,2025-11-20T00:35:28Z
lightningrodlabs/holochain-runner,lightningrodlabs,holochain-runner,holochain-runner,success,1,,2025-11-28T04:39:49Z
lights0123/ndless-rs,lights0123,ndless-rs,ndless-macros,success,1,,2025-11-28T04:39:51Z
lihe07/scannedpdf,lihe07,scannedpdf,scannedpdf,pending,0,,
lilopkins/financial-recurrence-rs,lilopkins,financial-recurrence-rs,financial-recurrence,pending,0,,
limine-bootloader/limine-rs,limine-bootloader,limine-rs,limine-proc,success,1,,2025-11-28T04:40:47Z
linalg-rs/rlst,linalg-rs,rlst,rlst,success,1,,2025-11-28T04:41:06Z
linclelinkpart5/spigal,linclelinkpart5,spigal,spigal,pending,0,,
lindera-morphology/lindera,lindera-morphology,lindera,lindera-assets,success,1,,2025-11-20T00:40:41Z
lindera/lindera-python,lindera,lindera-python,lindera-python,success,1,,2025-11-28T04:41:41Z
linebender/piet,linebender,piet,piet-direct2d,success,1,,2025-11-20T00:44:15Z
lipanski/mockito,lipanski,mockito,mockito,success,1,,2025-11-28T04:37:35Z
littleTitan/feo-math,littleTitan,feo-math,feo-math,success,1,,2025-11-28T04:40:29Z
lizclipse/nu_plugin_ulid,lizclipse,nu_plugin_ulid,nu_plugin_ulid,pending,0,,
llc-993/sa-token-rust,llc-993,sa-token-rust,sa-token-rust,success,1,,2025-11-20T00:33:17Z
