crate_id,name,repository,downloads,revdeps,top_category,popularity_band,is_core,stratum,created_at,latest_version_created_at,latest_version_year
245342,nib-server,https://gitlab.com/grauwoelfchen/nib,3034,0,text-processing,low,0,noncore,2020-05-24 19:38:32.66658+00,2021-06-23 17:49:37.648674+00,2021
1761235,mudssky_utils,https://github.com/mudssky/mudssky_utils,435,0,text-processing,low,0,noncore,2025-07-20 16:44:18.893606+00,2025-07-20 16:44:18.893606+00,2025
1511088,valust-utils,https://github.com/Embers-of-the-Fire/valust-rs,6214,0,config,mid,0,noncore,2025-01-10 09:42:10.745696+00,2025-01-24 13:23:59.827659+00,2025
186314,roperator,https://github.com/psFried/roperator,59984,0,config,mid,0,noncore,2019-12-04 04:25:03.33906+00,2021-04-18 01:12:54.117109+00,2021
1350523,rchess,https://github.com/Shadowcat650/rchess,5716,0,games,mid,0,noncore,2024-08-24 19:47:20.670162+00,2025-01-16 18:39:36.415505+00,2025
685220,de_index,https://github.com/DigitalExtinction/Game,1814,0,games,low,0,noncore,2022-10-11 11:13:42.309908+00,2022-10-11 11:13:42.309908+00,2022
1346570,sokoworld,https://github.com/brettchalupa/sokoworld,2411,0,games,low,0,noncore,2024-08-21 14:12:53.999746+00,2024-08-21 15:14:10.966297+00,2024
1827861,crabcamera,https://github.com/Michael-A-Kuykendall/crabcamera,3269,0,gui,low,0,noncore,2025-09-07 06:14:59.827827+00,2025-10-24 04:09:59.635528+00,2025
1631166,ferrishot_iced_runtime,https://github.com/iced-rs/iced,2060,6,gui,low,0,noncore,2025-04-12 19:04:41.521314+00,2025-04-12 21:36:13.847513+00,2025
1739427,skia-plotters-backend,https://github.com/marc2332/skia-plotters-backend,1348,0,gui,low,0,noncore,2025-07-05 19:41:22.638785+00,2025-07-05 19:41:22.638785+00,2025
752769,stumpless-sys,https://github.com/goatshriek/stumpless-sys/,7360,6,external-ffi-bindings,mid,0,noncore,2023-01-07 04:14:22.555214+00,2024-05-27 19:29:45.057453+00,2024
800748,libquickjspp-sys,https://github.com/Icemic/quickjspp-rs,5237,14,external-ffi-bindings,mid,0,noncore,2023-03-04 18:41:52.919631+00,2024-05-18 18:16:01.886844+00,2024
283984,zwp-virtual-keyboard,https://github.com/pentamassiv/zwp-virtual-keyboard,21470,12,external-ffi-bindings,mid,0,noncore,2020-09-02 20:34:05.17248+00,2022-10-08 22:23:35.23145+00,2022
8267,genio,https://github.com/Kixunil/genio,171277,8,embedded,high,0,noncore,2017-01-28 19:08:51.244484+00,2019-12-23 17:34:06.689593+00,2019
1649197,audio-blocks,https://github.com/neodsp/audio-blocks,3906,2,multimedia,low,0,noncore,2025-04-25 16:21:54.049412+00,2025-10-28 14:17:17.437166+00,2025
778440,mp4-stream,https://github.com/Stonks3141/pet-monitor-app,2634,1,multimedia,low,0,noncore,2023-02-07 02:26:51.480707+00,2023-02-07 02:26:51.480707+00,2023
1884519,rwkv-tts-rs,https://github.com/Ai00-X/rwkv-agent-kit,210,0,multimedia,low,0,noncore,2025-10-15 14:41:02.542906+00,2025-10-15 14:41:02.542906+00,2025
1400262,color-palettes,https://github.com/erenyesilyurt/color-palettes,1141,0,graphics,low,0,noncore,2024-10-07 16:42:31.42217+00,2024-10-07 16:42:31.42217+00,2024
691994,plt-cairo,https://github.com/plt-rs/plt,3043,2,graphics,low,0,noncore,2022-10-20 01:32:53.327956+00,2022-10-20 01:32:53.327956+00,2022
1116474,tower-github-webhook,https://github.com/SebRollen/tower-github-webhook,5751,0,authentication,mid,0,noncore,2024-01-27 03:10:18.696338+00,2024-08-19 13:25:19.600894+00,2024
1721800,memtrace-ui,https://github.com/blkmlk/memtrace-ui,1247,0,os,low,0,noncore,2025-06-22 17:35:00.545761+00,2025-08-23 19:41:51.107234+00,2025
235926,rsb_derive,https://github.com/abdolence/rust-struct-builder,1796713,506,rust-patterns,high,0,noncore,2020-04-30 20:03:21.327774+00,2022-09-09 14:30:55.018206+00,2022
1613110,html_to_bevy,https://github.com/cad3n123/html_to_bevy/tree/main,12046,0,game-development,mid,0,noncore,2025-03-31 06:52:31.659748+00,2025-04-10 07:06:52.408661+00,2025
917730,bevy_dolly,https://github.com/BlackPhlox/bevy_dolly,19219,1,game-development,mid,0,noncore,2023-07-16 11:19:57.196632+00,2024-12-21 19:18:33.00211+00,2024
775310,bevy_pathmesh,https://github.com/vleue/bevy_pathmesh,8581,0,game-development,mid,0,noncore,2023-02-03 01:16:31.07412+00,2024-03-09 15:57:49.567419+00,2024
1339079,bevy_cleancut,https://github.com/CleanCut/bevy_cleancut,9588,0,game-development,mid,0,noncore,2024-08-15 18:18:24.66689+00,2024-09-10 16:52:31.308688+00,2024
