crate_id,name,repository,downloads,top_category,all_categories,created_year,updated_year,pop_stratum
586088,notemd,https://github.com/schmidma/NoteMD,2724,uncategorized,,2022,2022,low
326204,cw-controllers,https://github.com/CosmWasm/cw-minus,748625,uncategorized,,2025,2025,high
541356,pi_slot_deque,https://github.com/GaiaWorld/pi_slot_deque.git,26112,uncategorized,,2025,2025,high
1822117,sentinel-sdk,https://github.com/swayam8624/Sentinel,345,api-bindings,"api-bindings,security",2025,2025,low
1552040,gen3_rpc,https://github.com/MazinLab/gen3_rpc,782,uncategorized,,2025,2025,low
1281213,kimage,https://github.com/seal/kimage,4373,uncategorized,,2024,2024,low
568441,emmet,https://github.com/bbb651/emmet,1665,parsing,"parsing,text-editors",2022,2022,low
1488906,africa,https://github.com/klebs6/klebs-general,4596,internationalization,internationalization,2025,2025,low
348176,dobby,https://github.com/dobby-dev/dobby,8182,command-line-utilities,"command-line-utilities,development-tools",2022,2022,mid
1302780,micropb-gen,https://github.com/YuhanLiin/micropb,74222,embedded,"embedded,encoding,no-std::no-alloc",2025,2025,high
201325,sysinputs,https://github.com/brecert/native-system-input-events,2729,uncategorized,,2020,2020,low
1213858,ebpf-histogram-ebpf,https://github.com/geobeau/ebpf-histogram,1485,uncategorized,,2024,2024,low
1074037,qemu-plugin-sys,https://github.com/novafacing/qemu-rs,10650,virtualization,virtualization,2025,2025,mid
1103783,satex-serve,https://github.com/w-sodalite/satex.git,7476,uncategorized,,2024,2024,mid
480155,rabuf,https://github.com/aki-akaguma/rabuf,30430,data-structures,"data-structures,memory-management",2025,2025,high
1098847,huawei-cloud-api-definitions-TICS,https://github.com/mingyang91/huawei-cloud-api-definitions,40975,uncategorized,,2024,2024,high
2365,aho-corasick,https://github.com/BurntSushi/aho-corasick,570505959,text-processing,text-processing,2025,2025,high
708018,mcan-core,https://github.com/GrepitAB/mcan,37214,embedded,"embedded,hardware-support,no-std",2022,2022,high
1810563,ade-traits,https://github.com/riccardoscalco/ade,569,uncategorized,,2025,2025,low
476042,mailboxvalidator,https://github.com/MailboxValidator/mailboxvalidator-rust/,4381,accessibility,"accessibility,email",2024,2024,low
636163,hot-lib-reloader,https://github.com/rksm/hot-lib-reloader-rs,43396,development-tools,development-tools,2025,2025,high
1567361,bufferino,https://github.com/verdiwm/bufferino,785,uncategorized,,2025,2025,low
1303013,archbelt,https://github.com/archean-cookbook/archbelt,3679,uncategorized,,2024,2024,low
77686,amethyst_locale,https://github.com/amethyst/amethyst,329085,localization,localization,2020,2020,high
